d,defect_length,seed,detection_time,alpha_min_reached,recovery_time,sentinel_payoff,tft_payoff
10,100,0,1,0.050000,153,3268.6475,3101.0000
10,200,0,0,0.050000,185,3366.8692,3201.0000
10,500,0,1,0.050000,145,3662.6202,3501.0000
10,10,1,1,0.050000,34,3041.2809,3011.0000
10,50,1,1,0.050000,64,3079.5924,3051.0000
10,100,1,1,0.050000,88,3128.0210,3101.0000
10,200,1,1,0.050000,82,3224.7794,3201.0000
10,500,1,1,0.050000,85,3519.9916,3501.0000
10,10,2,1,0.050000,34,3060.6227,3011.0000
10,50,2,1,0.050000,53,3098.2492,3051.0000
10,100,2,1,0.050000,75,3145.8961,3101.0000
10,200,2,1,0.050000,84,3242.0907,3201.0000
10,500,2,1,0.050000,85,3534.8636,3501.0000
10,10,3,1,0.050000,41,3109.3352,3011.0000
10,50,3,1,0.050000,46,3144.6543,3051.0000
10,100,3,1,0.050000,65,3192.2261,3101.0000
10,200,3,1,0.050000,77,3285.4571,3201.0000
10,500,3,1,0.050000,68,3580.6179,3501.0000
10,10,4,1,0.050000,33,3052.6932,3011.0000
10,50,4,1,0.050000,50,3088.8877,3051.0000
10,100,4,1,0.050000,70,3136.0744,3101.0000
10,200,4,1,0.050000,67,3232.8621,3201.0000
10,500,4,1,0.050000,79,3524.6250,3501.0000
10,10,5,1,0.050000,33,3018.6217,3011.0000
10,50,5,1,0.050000,34,3056.7211,3051.0000
10,100,5,1,0.050000,39,3104.8909,3101.0000
10,200,5,1,0.050000,42,3200.2964,3201.0000
10,500,5,1,0.050000,43,3486.3733,3501.0000
10,10,6,1,0.050000,34,3098.0864,3011.0000
10,50,6,1,0.050000,72,3133.0303,3051.0000
10,100,6,1,0.050000,96,3181.6954,3101.0000
10,200,6,1,0.050000,98,3276.5404,3201.0000
10,500,6,1,0.050000,101,3572.1363,3501.0000
10,10,7,1,0.050000,33,3047.4712,3011.0000
10,50,7,1,0.050000,59,3085.2867,3051.0000
10,100,7,1,0.050000,75,3133.9641,3101.0000
10,200,7,1,0.050000,75,3231.3194,3201.0000
10,500,7,1,0.050000,77,3522.9077,3501.0000
10,10,8,1,0.050000,33,3014.8653,3011.0000
10,50,8,1,0.050000,33,3052.9396,3051.0000
10,100,8,1,0.050000,33,3100.9635,3101.0000
10,200,8,1,0.050000,34,3196.0914,3201.0000
10,500,8,1,0.050000,34,3482.4823,3501.0000
10,10,9,1,0.050000,54,3168.8497,3011.0000
10,50,9,1,0.050000,101,3204.7708,3051.0000
10,100,9,0,0.050000,126,3250.8560,3101.0000
10,200,9,1,0.050000,133,3341.8645,3201.0000
10,500,9,0,0.050000,125,3638.3075,3501.0000
10,10,10,1,0.050000,34,3014.7074,3011.0000
10,50,10,1,0.050000,90,3054.4667,3051.0000
10,100,10,1,0.050000,113,3104.4463,3101.0000
10,200,10,1,0.050000,0,3205.4093,3201.0000
10,500,10,1,0.050000,111,3493.8572,3501.0000
10,10,11,1,0.050000,37,3021.7389,3011.0000
10,50,11,1,0.050000,107,3061.7192,3051.0000
10,100,11,1,0.050000,120,3111.0878,3101.0000
10,200,11,1,0.050000,0,3212.8595,3201.0000
10,500,11,1,0.050000,0,3511.9510,3501.0000
10,10,12,1,0.050000,34,3033.8887,3011.0000
10,50,12,1,0.050000,38,3071.6731,3051.0000
10,100,12,1,0.050000,41,3120.6840,3101.0000
10,200,12,1,0.050000,44,3218.3140,3201.0000
10,500,12,1,0.050000,48,3506.0989,3501.0000
10,10,13,1,0.050000,37,3163.3707,3011.0000
10,50,13,1,0.050000,120,3193.7030,3051.0000
10,100,13,1,0.050000,138,3239.4743,3101.0000
10,200,13,1,0.050000,145,3332.7437,3201.0000
10,500,13,1,0.050000,139,3613.9904,3501.0000
10,10,14,0,0.050000,233,3214.8433,3011.0000
10,50,14,0,0.050000,170,3242.0364,3051.0000
10,100,14,0,0.050000,229,3289.2954,3101.0000
10,200,14,0,0.050000,175,3385.4332,3201.0000
10,500,14,0,0.050000,334,3680.1868,3501.0000
10,10,15,1,0.050000,34,3065.8990,3011.0000
10,50,15,1,0.050000,91,3101.8249,3051.0000
10,100,15,1,0.050000,113,3149.3816,3101.0000
10,200,15,1,0.050000,113,3244.5427,3201.0000
10,500,15,1,0.050000,113,3534.0945,3501.0000
10,10,16,0,0.050000,500,3184.2967,3011.0000
10,50,16,0,0.050000,500,3207.6441,3051.0000
10,100,16,0,0.050000,500,3259.2971,3101.0000
10,200,16,0,0.050000,500,3358.2904,3201.0000
10,500,16,0,0.050000,500,3642.9233,3501.0000
10,10,17,1,0.050000,35,3129.0716,3011.0000
10,50,17,1,0.050000,66,3165.0872,3051.0000
10,100,17,1,0.050000,85,3210.7445,3101.0000
10,200,17,0,0.050000,90,3310.8850,3201.0000
10,500,17,1,0.050000,94,3604.5142,3501.0000
10,10,18,1,0.050000,33,3014.2451,3011.0000
10,50,18,1,0.050000,33,3052.0658,3051.0000
10,100,18,1,0.050000,34,3099.9475,3101.0000
10,200,18,1,0.050000,34,3195.2206,3201.0000
10,500,18,1,0.050000,34,3480.3243,3501.0000
10,10,19,1,0.050000,33,3016.1932,3011.0000
10,50,19,1,0.050000,41,3054.6376,3051.0000
10,100,19,1,0.050000,61,3102.9947,3101.0000
10,200,19,1,0.050000,64,3199.6473,3201.0000
10,500,19,1,0.050000,66,3489.1179,3501.0000
20,10,0,1,0.050000,33,3019.6873,3011.0000
20,50,0,1,0.050000,33,3057.8342,3051.0000
20,100,0,1,0.050000,33,3105.4217,3101.0000
20,200,0,1,0.050000,33,3200.8539,3201.0000
20,500,0,1,0.050000,33,3486.5649,3501.0000
20,10,1,1,0.050000,36,3111.0298,3011.0000
20,50,1,1,0.050000,45,3146.4570,3051.0000
20,100,1,1,0.050000,65,3193.7194,3101.0000
20,200,1,1,0.050000,63,3291.9501,3201.0000
20,500,1,1,0.050000,61,3581.5033,3501.0000
