agent,gamma,seed,action_var,kl_noisy,mean_payoff,mean_action,perturbation_depth,recovery_time
tft,0.000,12,0.09159600,NA,2.890000,0.898000,0.000000,1
ema_tft,0.500,12,0.02983120,NA,2.888579,0.898039,0.000000,5
ema_tft,0.900,12,0.00422293,NA,2.886671,0.898829,0.000030,29
ema_tft,0.950,12,0.00188937,NA,2.885149,0.899557,0.006232,59
ema_tft,0.990,12,0.00051053,NA,2.877780,0.903269,0.369730,200
reservoir,1.000,13,0.00014081,0.164959,2.804140,0.964392,0.909536,0
tft,0.000,13,0.08025600,NA,2.904000,0.912000,0.000000,1
ema_tft,0.500,13,0.02652373,NA,2.904529,0.912039,0.000000,5
ema_tft,0.900,13,0.00434035,NA,2.902917,0.912645,0.000030,29
ema_tft,0.950,13,0.00217346,NA,2.902137,0.913066,0.006232,59
ema_tft,0.990,13,0.00059504,NA,2.895331,0.916657,0.369730,200
reservoir,1.000,14,0.00002587,0.242115,2.736443,0.987155,0.952512,0
tft,0.000,14,0.08678400,NA,2.895000,0.904000,0.000000,1
ema_tft,0.500,14,0.02898149,NA,2.894700,0.904002,0.000000,5
ema_tft,0.900,14,0.00450439,NA,2.894236,0.904335,0.000030,29
ema_tft,0.950,14,0.00196251,NA,2.893507,0.904837,0.006232,59
ema_tft,0.990,14,0.00038299,NA,2.887337,0.908050,0.369730,200
reservoir,1.000,15,0.00002555,0.843852,2.681460,0.993144,0.944369,0
tft,0.000,15,0.09828975,NA,2.879000,0.889500,0.000000,1
ema_tft,0.500,15,0.03229729,NA,2.877508,0.889750,0.000000,5
ema_tft,0.900,15,0.00533906,NA,2.875803,0.890210,0.000030,29
ema_tft,0.950,15,0.00286025,NA,2.875009,0.890556,0.006232,59
ema_tft,0.990,15,0.00096806,NA,2.870477,0.892988,0.369730,200
reservoir,1.000,16,0.00003009,0.637362,2.716411,0.985795,0.935759,0
tft,0.000,16,0.09278775,NA,2.886500,0.896500,0.000000,1
ema_tft,0.500,16,0.03112347,NA,2.885495,0.896501,0.000000,5
